Date,Price,Open,High,Low,Vol.,Change %
"Apr 04, 2018","46,103.61","46,058.24","46,447.91","46,037.54",148.45M,0.20%
"Apr 03, 2018","46,013.34","45,744.57","46,057.53","45,692.02",135.74M,0.59%
"Apr 02, 2018","45,741.43","45,624.13","45,771.40","45,413.69",128.18M,0.40%
"Mar 30, 2018","45,560.30","45,483.29","45,604.59","45,391.71",109.23M,0.16%
"Mar 29, 2018","45,489.62","45,157.83","45,506.11","45,155.51",163.04M,0.70%
"Mar 28, 2018","45,172.99","45,032.93","45,232.77","44,899.51",142.67M,0.38%
"Mar 27, 2018","45,004.19","45,100.61","45,307.45","44,936.12",104.10M,-0.18%
"Mar 26, 2018","45,083.57","45,019.02","45,118.16","44,784.81",56.93M,0.12%
"Mar 22, 2018","45,030.22","44,705.94","45,032.41","44,659.33",89.21M,0.86%
"Mar 21, 2018","44,645.95","44,450.27","44,840.69","44,443.51",82.64M,0.76%
"Mar 20, 2018","44,309.74","43,542.12","44,404.86","43,542.12",92.62M,1.77%
"Mar 19, 2018","43,539.60","43,362.88","43,620.81","43,311.85",36.11M,0.41%
"Mar 16, 2018","43,363.21","43,513.82","43,525.59","43,314.22",54.22M,-0.30%
"Mar 15, 2018","43,495.07","43,409.07","43,509.56","43,366.67",39.44M,0.20%
"Mar 14, 2018","43,407.72","43,601.78","43,601.95","43,346.39",47.24M,-0.48%
"Mar 13, 2018","43,618.07","43,431.31","43,707.13","43,354.13",60.04M,0.48%
"Mar 12, 2018","43,410.93","43,020.08","43,479.50","43,011.86",31.21M,0.93%
"Mar 09, 2018","43,011.26","43,089.18","43,188.55","42,860.98",53.89M,-0.14%
"Mar 08, 2018","43,072.74","43,416.46","43,475.56","42,940.70",69.03M,-0.85%
"Mar 07, 2018","43,441.18","43,712.63","43,724.56","43,416.45",45.53M,-0.60%
"Mar 06, 2018","43,705.10","43,852.32","44,044.01","43,660.46",61.33M,-0.28%
"Mar 05, 2018","43,829.07","43,797.53","43,875.00","43,654.69",44.75M,0.20%
"Mar 02, 2018","43,740.49","43,567.18","43,759.13","43,412.47",84.42M,0.53%
"Mar 01, 2018","43,510.39","43,259.45","43,634.10","43,176.04",79.83M,0.63%
"Feb 28, 2018","43,239.44","43,022.00","43,323.18","43,016.54",50.02M,0.57%
"Feb 27, 2018","42,994.96","42,900.85","43,116.82","42,606.88",64.53M,0.20%
"Feb 26, 2018","42,911.02","43,443.68","43,490.69","42,804.50",55.13M,-0.82%
